股票代码|股票简称|英文名|行业编码|一级分类|二级分类|上市交易所|公司全称|上市日期|省份|城市|法人|地址|网址|邮箱|电话|主营业务|经营范围
cn_600519|贵州茅台|Kweichow Moutai|B01|消费品|食品饮料|上海证券交易所|贵州茅台酒股份有限公司|2001-08-27|贵州省|仁怀市|丁雄军|贵州省仁怀市茅台镇|www.moutaichina.com|service@moutai.com|0851-22388888|生产销售贵州茅台酒及系列酒产品|白酒制造销售 酒类产品研发 包装材料生产
cn_000858|五粮液|Wuliangye|C1512|制造业|酒、饮料和精制茶制造业|深圳证券交易所|宜宾五粮液股份有限公司|19980427|四川省|宜宾市|曾从钦|四川省宜宾市翠屏区岷江西路150号|www.wuliangye.com.cn|service@wuliangye.com.cn|0831-3567000|浓香型白酒生产销售|白酒生产、销售及相关技术服务
cn_300750|宁德时代|CATL|C3841|制造业|电池制造业|深圳证券交易所|宁德时代新能源科技股份有限公司|20180611|福建省|宁德市|曾毓群|福建省宁德市蕉城区漳湾镇新港路2号|www.catl.com|service@catl.com|0593-8901666|新能源汽车动力电池研发制造|动力电池系统、储能系统研发生产及销售
cn_601318|中国平安|Ping An Insurance|J68|金融业|保险业|上海证券交易所|中国平安保险（集团）股份有限公司|20070625|广东省|深圳市|马明哲|广东省深圳市福田区益田路5033号|www.pingan.com|service@pingan.com.cn|0755-22626666|保险、银行、投资业务|保险业务、金融服务以及资产管理
cn_000001|平安银行|Ping An Bank|J66|金融业|货币金融服务|深圳证券交易所|平安银行(修改后)|19910403|广东省|深圳市|谢永林|广东省深圳市罗湖区深南东路5047号|www.bank.pingan.com|service@pingan.com.cn|0755-82080387|商业银行金融服务|吸收公众存款、发放贷款以及相关金融服务
cn_600001|华信科技|Huaxin Tech|I65|信息技术|软件服务|上海证券交易所|华信科技股份有限公司|2000-01-10|北京市|北京市|张伟|北京市海淀区中关村大街1号|www.huaxin.com|service@huaxin.com|010-88880001|企业级软件研发与系统集成|计算机软件开发、销售；系统集成；信息技术咨询；数据处理。
cn_600002|恒瑞生物|Hengrui Bio|C27|制造业|医药制造业|上海证券交易所|恒瑞生物医药集团股份有限公司|2000-12-15|江苏省|连云港市|孙飘扬|江苏省连云港市经济技术开发区黄河路38号|www.hengruibio.com|service@hengruibio.com|0518-85588888|创新药及仿制药研发生产|药品生产、销售；医药技术研发、技术转让；医疗器械销售。
cn_000002|万科发展|Vanke Dev|K70|房地产业|房地产开发|深圳证券交易所|万科发展集团股份有限公司|1991-01-29|广东省|深圳市|郁亮|深圳市盐田区大梅沙环梅路33号|www.vanke.com|service@vanke.com|0755-25606666|住宅开发与物业管理|房地产开发经营；物业管理；建筑装饰；投资兴办实业。
cn_002001|创新电子|Chuangxin Elec|C39|制造业|计算机、通信和其他电子设备制造业|深圳证券交易所|创新电子科技股份有限公司|2004-06-25|广东省|东莞市|陈明|东莞市松山湖高新技术产业开发区工业北路12号|www.chuangxin.com|service@chuangxin.com|0769-22886666|消费电子零部件及组装|电子元器件制造；电子产品研发、销售；货物进出口。
cn_300001|绿色能源|Green Energy|D44|电力、热力、燃气及水生产和供应业|电力生产|深圳证券交易所|绿色能源股份有限公司|2010-11-02|浙江省|杭州市|王磊|杭州市滨江区江南大道188号|www.greenenergy.com|service@greenenergy.com|0571-86668888|风力发电及光伏电站运营|风力发电、光伏发电项目投资、开发、运营；电力销售。
